matrix,row-variability:variance,diagonal-average:variance,upband:iprs,nnzlow:iprs,lambda-min-by-magnitude-re:lapack,avgdistfromdiag:iprs,avgnnzprow:iprs,lambda-max-by-im-part-im:spectrum,normF:simple,lambda-max-by-real-part-im:spectrum,sigma-min:spectrum,ellipse-cx:spectrum,lee96-lbound:normal,n-struct-unsymm:structure,lee96-ubound:normal,lambda-max-by-im-part-re:spectrum,ruhe75-bound:normal,departure:lapack,ellipse-cy:spectrum,relsymm:iprs,lambda-max-by-magnitude-im:spectrum,n-colours:jpl,commutator-normF:normal,col-variability:variance,symmetry-anorm:simple,diag-zerostart:structure,symmetry:structure,lambda-max-by-im-part-re:lapack,positive-fraction:spectrum,nnz:iprs,diagonal-dominance:simple,lambda-max-by-real-part-re:lapack,dummy-rows-kind:structure,max-nnzeros-per-row:structure,ellipse-ax:spectrum,lambda-min-by-magnitude-re:spectrum,symmetry-fanorm:simple,nnzeros:structure,loband:iprs,diagonal-sign:variance,min-nnzeros-per-row:structure,lambda-max-by-real-part-re:spectrum,trace-asquared:normal,nnzup:iprs,n-dummy-rows:structure,nrows:structure,symmetry-fsnorm:simple,diag-definite:structure,avg-diag-dist:iprs,lambda-max-by-im-part-im:lapack,diagonal-variance:variance,symmetry-snorm:simple,n-ritz-values:spectrum,lambda-max-by-magnitude-re:spectrum,lee95-bound:normal,normInf:simple,lambda-max-by-magnitude-re:lapack,sigma-max:spectrum,n-nonzero-diags:iprs,trace-abs:simple,norm1:simple,lambda-min-by-magnitude-im:lapack,left-bandwidth:structure,blocksize:structure,ellipse-ay:spectrum,lambda-max-by-magnitude-im:lapack,sigma-diag-dist:iprs,kappa:spectrum,lambda-max-by-real-part-im:lapack,trace:simple,nnzdia:iprs,lambda-min-by-magnitude-im:spectrum,right-bandwidth:structure
fpga_dcop_41, 77.12, 0.2578098, 864, 2638, 0.1818182, 4, 4, 1.58101006669e-322, 18.80816, nan, 0.9999986, 0.9358258, nan, nan, nan, 4.94065645841e-324, 0.5370867, 1.157558e-05, nan, nan, nan, 5, nan, 77.12, nan, 1154, nan, 2.87165, 0.7012987, 5976, -1.0, 2.871652, nan, 36, 1.935826, -0.4629119, nan, 5976, 864, 1, 2, 2.871652, nan, 2118, nan, 1220, nan, nan, 460.3435, nan, 0.2616686, nan, 77, 2.871652, nan, 5.727273, 2.871652, 2.871652, 1601, 314.528, 5.727274, nan, 864, 224, nan, nan, 475474.4, 6.203451, nan, 314.528, 1220, nan, 864
fpga_dcop_46, 77.12, 0.2578098, 864, 2638, 0.1818182, 4, 4, 1.58101006669e-322, 18.80816, nan, 0.9999986, 0.9358258, nan, nan, nan, 4.94065645841e-324, 0.5370867, 1.157321e-05, nan, nan, nan, 5, nan, 77.12, nan, 1154, nan, 2.87165, 0.8030303, 5976, -1.0, 2.871652, nan, 36, 1.935826, -0.4629119, nan, 5976, 864, 1, 2, 2.871652, nan, 2118, nan, 1220, nan, nan, 460.3435, nan, 0.2616686, nan, 66, 2.871652, nan, 5.727273, 2.871652, 2.871652, 1601, 314.528, 5.727274, nan, 864, 224, nan, nan, 475474.4, 6.203451, nan, 314.528, 1220, nan, 864
Zd_Jac2, 33.84115, 0.003595155, 14761, 5794, 4.360542e-06, 72, 72, 62271.72, 4.457257e+11, nan, 162463900.0, 0.01022256, nan, nan, nan, 14213.05, 4.457094e+11, 4.457257e+11, nan, nan, 27713.52, 13, nan, 29.52899, nan, 23, nan, 63873.15, 0.5, 1665661, -6.475019e+11, 63873.15, nan, 925, 63873.22, -3858.895, nan, 1665661, 20403, nan, 2, 63873.23, nan, 1637032, nan, 22835, nan, nan, 7553.024, nan, 0.2497613, nan, 240, 57547.81, nan, 6.475019e+11, 63873.15, 4.457095e+11, 15321, 82.09536, 3.454034e+11, nan, 20403, 2, 62271.72, nan, 32044190.0, 11.91438, nan, -64.06837, 22835, 3721.486, 14761
Zd_Jac3, 33.68628, 0.00358243, 14761, 5839, -8.160715e-09, 84, 84, 62074.05, 4.604307e+11, nan, 1126543000.0, -0.1237231, nan, nan, nan, 14168.01, 4.604191e+11, 4.604307e+11, nan, nan, nan, 13, nan, 26.04305, nan, 23, nan, 63670.43, 0.5, 1938980, -6.47031e+11, 63670.43, nan, 1051, 63670.59, 7807.299, nan, 1938980, 20403, nan, 2, -63670.71, nan, 1910306, nan, 22835, nan, nan, 7534.972, nan, 0.2484426, nan, 240, -63670.71, nan, 6.47031e+11, 63670.43, 4.604191e+11, 15367, 81.80479, 4.124873e+11, nan, 20403, 2, 62074.05, nan, 32144710.0, 8.155281, nan, -63.7717, 22835, nan, 14761
Zd_Jac6, 30.24526, 0.003800103, 14761, 5781, 71379.6, 75, 75, 73214.52, 9.451455e+11, 16292.04, 126008700.0, -2.301874, nan, nan, nan, 0.8341852, 9.451452e+11, 9.451455e+11, nan, nan, 16292.04, 13, nan, 22.54758, nan, 23, nan, 71379.6, 0.4916667, 1734811, -1.302707e+12, 71379.6, nan, 1051, 71383.27, 9327.549, nan, 1734811, 20403, nan, 2, -71385.57, nan, 1706195, nan, 22835, nan, nan, 7558.659, nan, 0.270774, nan, 240, -71385.57, nan, 1.302707e+12, 71379.6, 9.451453e+11, 15310, 86.77534, 8.869604e+11, nan, 20403, 2, 73214.52, nan, 32023820.0, 7.849984, nan, -68.54304, 22835, nan, 14761
tube2, nan, 4.0, nan, 437779, 4.0, 21, 21, 30.44382, 2710.799, 2.145185, 96.22986, 20.27825, nan, nan, nan, 14.67441, 91.97219, 2646.595, nan, nan, 2.145185, 18, nan, nan, nan, 21498, nan, 4.0, 0.6952381, 459277, -160.0, 4.0, 1, 42, 25.94769, -2.210443, nan, 459277, 13730, 2, 1, 46.22594, nan, nan, 12, 21498, nan, 1, 7787.034, nan, nan, nan, 105, 46.22594, nan, 168.0, 4.0, 101.7978, 8479, 85992.0, 168.0, nan, 13730, 1, 30.44382, nan, 263674800.0, 10.86877, nan, 85992.0, 21498, 3.638919, nan
rotor2, 53.45869, 106.1868, 721, 5928, 0.00105409, 13, 13, 6.8701, 4707844.0, nan, 527450.2, 32628.22, nan, 7662, nan, 0.925896, 830551.0, 4707370.0, nan, 0.290227, nan, 12, nan, 53.45869, 545854.0, 702, nan, 65258.4, 0.825, 10795, -1091707.0, 65258.4, 1, 43, 32630.18, -1.393459, 3328613.0, 10795, 721, nan, 1, 65258.4, 4461812000.0, 4076, 6, 791, 3329283.0, nan, 372.5646, nan, 1713.416, 545855.0, 240, 65258.4, 4707370.0, 1091709.0, 65258.4, 895809.4, 418, 83993.79, 1091429.0, nan, 721, 60, 6.8701, nan, 337920.1, 40913.62, nan, 83993.79, 791, 0.7761382, 721
rotor1, 74.4427, 1220.2, 93, 333, 40000.0, 7, 7, 500.492, 91659.22, 500.083, 41.86612, 19999.5, nan, nan, nan, 9.977441e-11, 9999.321, 60000.0, nan, nan, 500.083, 7, nan, 74.4427, nan, 99, nan, 40000.0, 0.8108108, 742, -20000.41, 40000.0, nan, 41, 20000.5, -4.369138e-08, nan, 742, 90, nan, 2, 40000.0, nan, 309, nan, 100, nan, nan, 51.21127, nan, 6820.154, nan, 148, 40000.0, nan, 80507.31, 40000.0, 50002.45, 142, 122020.0, 80503.46, nan, 90, 4, 500.492, nan, 5547.779, 9.15584e+11, nan, 121996.0, 100, nan, 93
t2d_q4_A_39, 1.868414, 11366.17, 100, 38612, 179.5638, 8, 8, nan, 4996108.0, nan, 847839.9, 807967.7, nan, nan, nan, nan, 268724.7, 197331.3, nan, nan, nan, 8, nan, 1.428485, nan, 9801, nan, 1036820.0, 1.0, 87025, -3933.092, 1036820.0, nan, 9, 228852.5, 579115.2, nan, 87025, 100, 2, 4, 1036820.0, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 46490.49, nan, 49, 1036820.0, nan, 1663674.0, 1036820.0, 1037254.0, 9, 111399800.0, 1659740.0, nan, 100, 99, nan, nan, 10920.05, 1.790352, nan, 111399800.0, 9801, nan, 100
t2d_q4_A_38, 2.030542, 30131.93, 100, 38612, 392.6754, 8, 8, nan, 13507200.0, nan, 2248220.0, 2368944.0, nan, nan, nan, nan, 358213.9, 538258.9, nan, nan, nan, 8, nan, 1.554096, nan, 9801, nan, 2847883.0, 1.0, 87025, -10678.51, 2847883.0, nan, 9, 478938.3, 1890006.0, nan, 87025, 100, 2, 4, 2847883.0, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 125755.3, nan, 40, 2847883.0, nan, 4600888.0, 2847883.0, 2849111.0, 9, 295323000.0, 4590210.0, nan, 100, 99, nan, nan, 10920.05, 1.506811, nan, 295323000.0, 9801, nan, 100
t2d_q4_A_37, 1.258432, 322.1819, 100, 38612, 28.88426, 8, 8, nan, 71870.67, nan, 7477.033, 5355.11, nan, nan, nan, nan, 7476.959, 1255.583, nan, nan, nan, 8, nan, 1.051774, nan, 9801, nan, 10710.15, 1.0, 87025, -4.000505e-07, 10710.15, nan, 9, 5355.036, 0.07385769, nan, 87025, 100, 2, 4, 10710.15, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 605.7066, nan, 34, 10710.15, nan, 12921.16, 10710.15, 10714.88, 9, 3157705.0, 13314.43, nan, 100, 99, nan, nan, 10920.05, 145010.6, nan, 3157705.0, 9801, nan, 100
t2d_q4_A_36, 1.258432, 319.3145, 100, 38612, 28.88426, 8, 8, nan, 69877.11, nan, 6575.704, 4007.638, nan, nan, nan, nan, 6575.63, 1163.724, nan, nan, nan, 8, nan, 1.041705, nan, 9801, nan, 8015.201, 1.0, 87025, -0.009832669, 8015.201, nan, 9, 4007.564, 0.07385794, nan, 87025, 100, 2, 4, 8015.201, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 586.2731, nan, 25, 8015.201, nan, 12100.24, 8015.201, 8019.597, 9, 3129602.0, 12100.23, nan, 100, 99, nan, nan, 10920.05, 108521.9, nan, 3129602.0, 9801, nan, 100
t2d_q4_A_35, 1.258433, 319.3718, 100, 38612, 29.61084, 8, 8, nan, 69922.32, nan, 6594.542, 4018.61, nan, nan, nan, nan, 6594.468, 1167.447, nan, nan, nan, 8, nan, 1.041705, nan, 9801, nan, 8037.147, 1.0, 87025, -1.678242, 8037.147, nan, 9, 4018.537, 0.07386093, nan, 87025, 100, 2, 4, 8037.147, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 586.7406, nan, 25, 8037.147, nan, 12144.97, 8037.147, 8041.374, 9, 3130163.0, 12143.3, nan, 100, 99, nan, nan, 10920.05, 108814.6, nan, 3130163.0, 9801, nan, 100
t2d_q4_A_33, 1.258412, 342.2806, 100, 38612, 28.87992, 8, 8, nan, 84282.86, nan, 10530.53, 6159.092, nan, nan, nan, nan, 10530.46, 1964.88, nan, nan, nan, 8, nan, 1.041696, nan, 9801, nan, 12175.82, 1.0, 87025, -29.07313, 12318.11, nan, 9, 6159.019, 0.07385815, nan, 87025, 100, 2, 4, 12318.11, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 729.8008, nan, 32, 12318.11, nan, 18950.0, 12318.11, 12324.48, 9, 3354692.0, 18920.92, nan, 100, 99, nan, nan, 10920.05, 166780.6, nan, 3354692.0, 9801, nan, 100
lhr11c, 300.0004, 0.003521379, 10716, 209715, 1.555104, 22, 22, 2.011575, 203.8242, nan, 15.42737, -0.07765132, nan, 231726, nan, -0.06448698, 17.74279, 186.7672, nan, 0.05265611, 1.514142, 27, nan, 300.0004, 31.53567, 10962, nan, 1.555104, 0.5925926, 244606, -32.32121, 2.000108, 1, 64, 2.077926, -1.405485, 144.0403, 244606, 10419, nan, 1, -2.155577, 49.07312, 23927, 30, 10964, 144.2106, nan, 2718.835, nan, 0.05815805, 31.53567, 27, 1.554743, 203.7038, 32.32121, 1.555104, 19.91301, 8201, 38.6084, 34.01184, nan, 10419, 33, 2.011575, nan, 16826870.0, 1.232058, nan, -30.2853, 10964, 1.061766, 10716
t2d_q4_A_31, 1.249586, 775.2334, 100, 38612, 23.69245, 8, 8, nan, 296999.8, nan, 45206.99, 48780.11, nan, nan, nan, nan, 4298.523, 10582.85, nan, nan, nan, 8, nan, 1.129968, nan, 9801, nan, 56651.75, 1.0, 87025, -192.9963, 56651.75, nan, 9, 7871.642, 40908.46, nan, 87025, 100, 2, 4, 56651.75, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 2737.322, nan, 37, 56651.75, nan, 89894.21, 56651.75, 56673.33, 9, 7598062.0, 89701.22, nan, 100, 99, nan, nan, 10920.05, 1.384842, nan, 7598062.0, 9801, nan, 100
t2d_q4_A_30, 1.362062, 1763.144, 100, 38612, 19.67933, 8, 8, nan, 747139.0, nan, 115890.2, 121709.2, nan, nan, nan, nan, 20772.33, 27877.67, nan, nan, nan, 8, nan, 1.217124, nan, 9801, nan, 148300.5, 1.0, 87025, -524.0801, 148300.5, nan, 9, 26591.31, 95117.88, nan, 87025, 100, 2, 4, 148300.5, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 6935.031, nan, 37, 148300.5, nan, 237161.7, 148300.5, 148357.1, 9, 17280570.0, 236637.6, nan, 100, 99, nan, nan, 10920.05, 1.559123, nan, 17280570.0, 9801, nan, 100
s3rmt3m1, 54.30694, 1116.746, nan, 107016, 0.7735511, 20, 20, 1901.705, 157779.8, nan, nan, 4664.263, nan, nan, nan, 4109.634, nan, 72640.0, nan, nan, nan, 14, nan, 54.30694, nan, 5489, nan, 0.7735511, 1.0, 112505, -2593.685, 4064.11, 1, 24, 1170.215, 3494.048, nan, 112505, 191, 2, 1, 5834.478, nan, nan, 1, 5489, nan, 1, 125.9652, nan, 1525.423, nan, 63, 5834.478, nan, 7419.917, 1016.027, nan, 115, 6129819.0, 8295.152, nan, 191, 1, 1901.705, nan, 65952.65, 1.486916, nan, 6129819.0, 5489, 1785.625, nan
c-19, 9.446362, 115.4367, nan, 9745, -1e-08, 5, 5, 2.33085e-310, 25125.72, nan, 3017.148, 9970.129, nan, nan, nan, nan, 1512.615, 321.7952, nan, nan, nan, 2, nan, 8.0, nan, 2327, nan, 525.4496, 1.0, 12072, -585.0, 18435.72, 1, 362, 8465.595, 1504.534, nan, 12072, 2316, nan, 1, 18435.72, nan, nan, 1462, 2327, nan, nan, 1615.923, nan, 507.8623, nan, 63, 18435.72, nan, 18435.72, 0.02473542, 18435.73, 1303, 268621.1, 18505.34, nan, 2316, 1, nan, nan, 10605960.0, 12.25345, nan, 268621.1, 2327, nan, nan
c-18, 9.426323, 743.6201, nan, 6488, -1e-08, 3, 3, nan, 731494.8, nan, 14734.17, 320522.5, nan, nan, nan, nan, 14734.17, 110.0208, nan, nan, nan, 2, nan, 8.0, nan, 2169, nan, 3.751515, 0.9677419, 8657, -309.4286, 641045.0, 1, 170, 320522.5, -1.003006e-08, nan, 8657, 2168, nan, 1, 641045.0, nan, nan, 1268, 2169, nan, nan, 1587.779, nan, 15688.96, nan, 62, 641045.0, nan, 641045.0, 14.47634, 641045.0, 1120, 1612912.0, 641046.0, nan, 2168, 1, nan, nan, 10203360.0, 6.391236e+13, nan, 1612912.0, 2169, nan, nan
extr1b, 10.67681, 0.0007096894, 2835, 6662, 626.1771, 5, 5, 624.6237, 5390660.0, 124.0432, 262322.2, 3.902444, nan, 11357, nan, -53.00456, 740647.1, 5390656.0, nan, 0.2022898, 523.3951, 7, nan, 13.80673, 598477.7, 1485, nan, 626.1771, 0.475, 14237, -742044.3, 626.1771, nan, 11, 622.2906, 69.67394, 3811772.0, 14237, 2481, -1.0, 2, 626.1931, 2926.555, 4739, nan, 2836, 3811772.0, nan, 1306.615, nan, 0.03776253, 598477.7, 240, 390.0053, 5390660.0, 742044.3, 626.1771, 741299.9, 4491, 2.012679, 741299.6, nan, 2481, 1, 624.6237, nan, 3721880.0, 1.447031, nan, -2.012679, 2836, 445.6636, 2835
t2d_q9_A_28, 1.071613, 67.3503, 100, 38612, 8.207509, 8, 8, nan, 12837.26, nan, 1108.351, 754.4961, nan, nan, nan, nan, 1108.331, 171.4583, nan, nan, nan, 8, nan, 1.04785, nan, 9801, nan, 1508.971, 1.0, 87025, -9.306164e-08, 1508.971, nan, 9, 754.4753, 0.02084369, nan, 87025, 100, 2, 4, 1508.971, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 102.3035, nan, 37, 1508.971, nan, 1817.743, 1508.971, 1509.384, 9, 660100.3, 1860.857, nan, 100, 99, nan, nan, 10920.05, 72394.64, nan, 660100.3, 9801, nan, 100
oscil_dcop_04, 36.09691, 30362.39, 202, 597, 0.0005001963, 3, 3, 5.211092, 4138982.0, nan, 23638.89, 1000455.0, nan, nan, nan, -3.179719, 23638.52, 48144.54, nan, nan, nan, 4, nan, 36.09691, nan, 430, nan, 1.0, 0.9487179, 1608, -30291.55, 2001004.0, nan, 13, 1000549.0, 0.3652606, nan, 1608, 329, 1, 1, 2001004.0, nan, 581, 4, 430, nan, nan, 102.0418, nan, 138532.2, nan, 78, 2001004.0, nan, 2004013.0, 1000.0, 2001004.0, 311, 13055830.0, 2004013.0, nan, 329, 21, 5.211092, nan, 25586.49, 5478292.0, nan, 13055830.0, 430, nan, 202
oscil_dcop_08, 36.09691, 30362.47, 202, 597, 0.0004999999, 3, 3, 2.972213, 4138862.0, nan, 23638.89, 1000473.0, nan, nan, nan, 58.66038, 23638.82, 36382.59, nan, nan, nan, 4, nan, 36.09691, nan, 430, nan, 1.0, 0.9230769, 1608, -30291.55, 2001004.0, nan, 13, 1000531.0, 0.0700141, nan, 1608, 329, 1, 1, 2001004.0, nan, 581, 4, 430, nan, nan, 102.0418, nan, 138532.1, nan, 78, 2001004.0, nan, 2004013.0, 1000.0, 2001004.0, 311, 13055860.0, 2004013.0, nan, 329, 21, 2.972213, nan, 25586.49, 28580020.0, nan, 13055860.0, 430, nan, 202
igbt3, 28.3416, 121.7581, 10905, 111534, 6.38255, 21, 21, 4138.934, 3.574155e+12, nan, 5.29292e+11, 5366.598, nan, nan, nan, 9.668543, 1.203859e+12, 3.574155e+12, nan, nan, nan, 19, nan, 36.1545, nan, 10938, nan, 11774.87, 0.6416667, 234006, -1.348412e+12, 11774.87, nan, 42, 6408.273, -764.1383, nan, 234006, 10905, 2, 2, 11774.87, nan, 111534, nan, 10938, nan, 1, 4690.226, nan, 298.9902, nan, 240, 11774.87, nan, 1.348412e+12, 11774.87, 1.203859e+12, 16552, 1331790.0, 1.348412e+12, nan, 10905, 30, 4138.934, nan, 52142640.0, 14.50935, nan, 1331790.0, 10938, 273.2855, 10905
plbuckle, 18.25266, 250220.2, nan, 14681, 11014.44, 12, 12, 296986.2, 16224860.0, nan, 1480477.0, 936456.9, nan, nan, nan, 994906.1, 1478032.0, 5683287.0, nan, nan, nan, 11, nan, 18.25266, nan, 1282, nan, 12713.1, 1.0, 15963, -304821.9, 1870470.0, 1, 33, 934013.1, 2443.761, nan, 15963, 75, 2, 1, 1870470.0, nan, nan, 2, 1282, nan, 1, 38.95714, nan, 342834.0, nan, 89, 1870470.0, nan, 4045762.0, 105906.0, 1970971.0, 70, 320782200.0, 1910030.0, nan, 75, 1, 296986.2, nan, 6564.163, 764.9927, nan, 320782200.0, 1282, 80.36913, nan
Zd_Jac2_db, 24.45394, 120245.6, 694, 284333, -0.1660915, 29, 29, 10523610.0, 3799681000.0, nan, 69661620.0, -3967812.0, nan, nan, nan, 1851656.0, 722523900.0, 3568522000.0, nan, nan, nan, 48, nan, 24.49135, nan, 22835, nan, 78834580.0, 0.6238532, 676439, -1085222000.0, 645901400.0, 1, 224, 649869200.0, 547316.6, nan, 676439, 694, nan, 1, -653837000.0, nan, 369271, 9443, 22835, nan, nan, 315.424, nan, 7032326.0, nan, 109, -653837000.0, nan, 1085222000.0, 356943400.0, 1376361000.0, 1243, 2745809000.0, 2683045000.0, nan, 694, 5077, 10523610.0, nan, 188234.3, 644.2226, nan, 1387569000.0, 22835, 854702.0, 694
std1_Jac3_db, 22.47418, 74344.65, 565, 252707, 0.002211938, 24, 24, 910260.0, 4.826891e+11, nan, 67412170.0, -9086112.0, nan, nan, nan, 244310.5, 4.824231e+11, 4.826888e+11, nan, nan, nan, 50, nan, 21.95572, nan, 21982, nan, 21558380.0, 0.6075949, 531826, -6.875287e+11, 245086100.0, 1, 211, 254172200.0, -150823.7, nan, 531826, 592, nan, 1, -263258300.0, nan, 257137, 10587, 21982, nan, nan, 280.8856, nan, 3352426.0, nan, 79, -263258300.0, nan, 6.875287e+11, 24425140.0, 4.826864e+11, 1119, 1634244000.0, 4.244443e+11, nan, 592, 6614, 910260.0, nan, 202954.5, 556.3252, nan, 1075262000.0, 21982, 448530.2, 565
jazz, nan, nan, nan, 2742, nan, 14, 14, 2.598167, 104.7282, 0.4805312, 16.26724, 0.7996697, nan, nan, nan, 0.7516481, 48.13862, 103.7111, nan, nan, 1.234481, 13, nan, nan, nan, nan, nan, nan, 0.5422886, 2940, -130.0, nan, 1, 66, 2.556531, 0.2089886, nan, 2940, 192, 10, 1, 3.356201, nan, nan, 17, 198, nan, nan, 95.59375, nan, nan, nan, 201, 3.181654, nan, 130.0, nan, 51.55137, 192, nan, 136.0, nan, 192, 1, 2.598167, nan, 39640.97, 16.32984, nan, nan, 198, nan, nan
LFAT5, 2.20412, 2696033.0, nan, 16, 0.6088062, 2, 2, 46.57506, 23509600.0, nan, 8566064.0, 6283224.0, nan, nan, nan, 12566430.0, 8566063.0, 8885793.0, nan, nan, nan, 2, nan, 2.20412, nan, 14, nan, 1.57088, 1.0, 30, -93.46736, 12566400.0, 1, 3, 6283223.0, 0.6085642, nan, 30, 5, 2, 1, 12566450.0, nan, nan, 3, 14, nan, 1, 2.5, nan, 5154635.0, nan, 84, 12566450.0, nan, 18849600.0, 12566400.0, 17351420.0, 6, 37744460.0, 18849600.0, nan, 5, 1, 46.57506, nan, 27.91667, 20649340.0, nan, 37744460.0, 14, nan, nan
t2d_q9_A_40, 1.560951, 4802.857, 100, 38612, 57.79006, 8, 8, nan, 1969674.0, nan, 311615.4, 322978.6, nan, nan, nan, nan, 61355.33, 74983.69, nan, nan, nan, 8, nan, 1.20324, nan, 9801, nan, 395697.2, 1.0, 87025, -1448.134, 395697.2, nan, 9, 72718.55, 250260.1, nan, 87025, 100, 2, 4, 395697.2, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 18251.71, nan, 37, 395697.2, nan, 630234.0, 395697.2, 395860.9, 9, 47072800.0, 628785.8, nan, 100, 99, nan, nan, 10920.05, 1.581144, nan, 47072800.0, 9801, nan, 100
adder_dcop_22, 98.94544, 0.002567163, 1801, 3764, 0.002308828, 6, 6, nan, 4.258824, nan, 0.8482087, 0.0898505, nan, nan, nan, 6.925382e-310, 0.831882, 0.00616892, nan, nan, nan, 7, nan, 98.94544, nan, 1813, nan, 1.179701, 0.627907, 11258, -1.000189, 1.179701, nan, 1310, 1.08985, 0.01632669, nan, 11258, 1763, 1, 2, 1.179701, nan, 5681, nan, 1813, nan, nan, 793.8216, nan, 0.00810018, nan, 86, 1.179701, nan, 1.663167, 1.179701, 1.179702, 3127, 4.654267, 1.664904, nan, 1763, 76, nan, nan, 1328154.0, 72.25599, nan, 4.654267, 1813, nan, 1801
plbuckle_G, 31.41498, 28.01479, nan, 6422, nan, 6, 6, 34.36906, 2017.148, 3.054815, nan, 79.51476, nan, nan, nan, 114.774, nan, 936.3571, nan, nan, 3.054815, 10, nan, 31.41498, nan, 1280, nan, nan, 0.9803922, 7704, -28.20271, 153.8319, 1, 23, 79.51476, -3.723478e-14, nan, 7704, 75, 1, 1, 159.0295, nan, nan, 465, 1282, nan, nan, 40.21311, nan, 41.29315, nan, 51, 159.0295, nan, 333.3024, 20.51072, nan, 61, 35914.96, 217.418, nan, 75, 1, 34.36906, nan, 6946.612, 4.271782e+15, nan, 35914.96, 1282, nan, nan
vibrobox, 22.6031, 11127650000.0, nan, 165250, 557966.0, 14, 14, 4085078000.0, 3.297805e+12, nan, 2.841468e+11, 1.437897e+11, nan, nan, nan, 1.479193e+11, 2.356828e+11, 1.471941e+12, nan, nan, nan, 16, nan, 22.0291, nan, 12328, nan, 693401.6, 1.0, 177578, -12716340000.0, 2.391725e+11, 1, 78, 95382760000.0, 48406980000.0, nan, 177578, 12162, 2, 1, 2.391725e+11, nan, nan, 1, 12328, nan, 1, 5196.848, nan, 24137280000.0, nan, 37, 2.391725e+11, nan, 4.427545e+11, 855204700.0, 3.219505e+11, 8909, 1.371817e+14, 4.102704e+11, nan, 12162, 1, 4085078000.0, nan, 119712000.0, 4.935064, nan, 1.371817e+14, 12328, 2348409000.0, nan
nasa2910, 32.75399, 2018123.0, nan, 85693, 4710.858, 30, 30, 2608738.0, 320105500.0, nan, 49909580.0, 39799440.0, nan, 85693, nan, 23343600.0, 49907950.0, 164506100.0, nan, 0.03284313, nan, 23, nan, 32.86176, 60011760.0, 2910, nan, 116364.6, 1.0, 88603, -40318150.0, 79597240.0, 1, 134, 39797810.0, 1631.029, 116323400.0, 88603, 859, 2, 1, 79597240.0, 7.540525e+16, nan, 14, 2910, 298222000.0, 1, 429.5, nan, 4673289.0, 139609000.0, 55, 79597240.0, 164506100.0, 129460100.0, 908418.8, 106179000.0, 860, 5872739000.0, 185108600.0, nan, 859, 1, 2608738.0, nan, 799514.2, 48801.85, nan, 5872739000.0, 2910, nan, nan
hydr1c_A_01, 24.47935, 0.0006064399, 5307, 12852, 8.35078e-07, 5, 5, 1510.29, 11129540.0, nan, 950923.8, -40.75622, nan, nan, nan, 141.3313, 2990092.0, 11129530.0, nan, nan, nan, 6, nan, 26.96212, nan, 2797, nan, 1994.585, 0.5125, 27898, -4530303.0, 1994.585, nan, 15, 2035.424, -1263.548, nan, 27898, 4535, nan, 2, -2076.18, nan, 9738, nan, 5308, nan, nan, 2423.849, nan, 0.03340153, nan, 240, -2076.18, nan, 4530303.0, -1994.591, 2992168.0, 8270, 3.218983, 2298395.0, nan, 4535, 2780, 1510.29, nan, 12618560.0, 1.451678, nan, -1.218983, 5308, 670.0, 5307
hydr1c_A_03, 21.92608, 0.000606805, 5307, 13078, 5.016283e-07, 5, 5, 1581.56, 11129600.0, nan, 950619.2, -0.05563474, nan, 22896, nan, 130.9428, 2990138.0, 11129580.0, nan, 0.1910112, nan, 6, nan, 22.54251, 2265277.0, 2797, nan, 2031.987, 0.5, 28302, -4530553.0, 2031.987, nan, 15, 2031.926, -1487.753, 7869812.0, 28302, 4535, nan, 2, -2031.982, 9652729.0, 9916, nan, 5308, 7869813.0, nan, 2420.041, nan, 0.03342577, 2265277.0, 240, -2031.982, 11129600.0, 4530553.0, 2031.987, 2992170.0, 8268, 3.220921, 2298395.0, nan, 4535, 2780, 1581.56, nan, 12612490.0, 1.365806, nan, -1.220921, 5308, nan, 5307
hydr1c_A_02, 17.62564, 0.0006064748, 5307, 12906, 4.97592e-07, 5, 5, 1681.754, 11129600.0, nan, 950921.4, -0.08495976, nan, nan, nan, 158.2928, 2990141.0, 11129590.0, nan, nan, nan, 6, nan, 19.30598, nan, 2797, nan, 2030.219, 0.5125, 27924, -4530715.0, 2030.219, nan, 15, 2030.303, 165.3063, nan, 27924, 4535, nan, 2, -2030.388, nan, 9710, nan, 5308, nan, nan, 2422.776, nan, 0.03340384, nan, 240, -2030.388, nan, 4530715.0, 2030.219, 2992171.0, 8185, 3.219168, 2298394.0, nan, 4535, 2780, 1681.754, nan, 12604230.0, 1.371454, nan, -1.219168, 5308, 1471.206, 5307
